iter	RMSE
0	350167.4237
1	336634.1424
2	323192.8361
3	310864.9939
4	299913.1006
5	289046.1986
6	279207.6193
7	269589.0714
8	261038.6735
9	253198.1978
10	245964.4395
11	238864.8009
12	232080.4994
13	226292.099
14	220218.3118
15	214521.4293
16	209443.3346
17	204735.0287
18	199820.7039
19	195562.146
20	191729.5409
21	187375.7597
22	184080.0601
23	180672.4729
24	177873.755
25	175104.0759
26	171997.7323
27	169732.5369
28	166787.8413
29	164203.4631
30	161987.9477
31	160233.9695
32	158151.1727
33	156209.0717
34	154548.0151
35	153134.6376
36	151575.1581
37	150022.4869
38	148672.6805
39	147507.974
40	146298.6956
41	145122.735
42	143897.9327
43	142899.2504
44	141978.1329
45	140843.4989
46	139930.5097
47	138999.7677
48	137981.639
49	136664.3163
50	135826.6301
51	135225.8138
52	134685.5493
53	134002.1425
54	133315.0576
55	132596.9066
56	132028.7306
57	131509.9938
58	131107.1254
59	130725.8592
60	129857.0656
61	128947.5893
62	128539.8307
63	127880.9104
64	126966.6056
65	126501.3427
66	126007.05
67	125652.7158
68	125277.5695
69	124897.4901
70	124620.6737
71	124129.486
72	123779.023
73	123209.5895
74	122799.9414
75	122462.6263
76	122222.9753
77	121908.0601
78	121500.2715
79	121190.5874
80	120976.8393
81	120552.1201
82	120348.5952
83	119858.9659
84	119454.3786
85	119136.8603
86	118815.0421
87	118638.7475
88	118434.7145
89	118223.0799
90	118095.4867
91	117846.6735
92	117683.8991
93	117475.1351
94	117217.6592
95	117077.047
96	116715.8331
97	116529.793
98	116399.5159
99	116076.7545
100	115882.5813
101	115727.1961
102	115597.9362
103	115478.092
104	115334.8067
105	115090.8246
106	114953.7244
107	114653.125
108	114493.451
109	114299.0409
110	114053.1423
111	113921.5075
112	113757.1158
113	113572.4828
114	113409.1986
115	113277.4681
116	113130.3013
117	112761.7593
118	112584.4325
119	112423.2671
120	112299.3304
121	112175.0357
122	112001.1192
123	111821.1427
124	111663.9836
125	111522.9679
126	111332.7131
127	111162.4038
128	110940.4951
129	110756.2331
130	110602.6143
131	110473.2443
132	110381.79
133	110198.4759
134	110022.6869
135	109908.2356
136	109739.082
137	109607.7374
138	109389.4642
139	109273.9425
140	109132.799
141	109021.228
142	108905.7655
143	108820.4814
144	108723.6555
145	108556.1137
146	108422.6506
147	108292.9391
148	108216.129
149	108095.8014
150	107882.5636
151	107760.807
152	107647.7015
153	107529.158
154	107438.2657
155	107272.6407
156	107174.9343
157	107018.2768
158	106728.6529
159	106567.1088
160	106420.7133
161	106331.2273
162	106236.4692
163	106121.4368
164	105965.4669
165	105814.7307
166	105582.8253
167	105435.1264
168	105345.738
169	105249.0901
170	104993.7869
171	104828.0255
172	104745.5513
173	104613.2928
174	104481.3276
175	104345.3285
176	104177.3163
177	104062.3966
178	103972.0152
179	103828.7156
180	103720.9243
181	103622.9041
182	103431.468
183	103230.4943
184	103159.0784
185	102952.9687
186	102831.815
187	102717.6285
188	102606.0335
189	102518.9666
190	102397.1192
191	102297.9009
192	102096.2629
193	101977.5442
194	101767.1442
195	101664.114
196	101611.3653
197	101476.7717
198	101296.44
199	101177.7047
200	101085.5132
201	100964.3804
202	100847.86
203	100758.215
204	100632.5881
205	100383.7777
206	100219.0748
207	100102.8788
208	100011.8115
209	99883.04973
210	99768.65667
211	99614.52806
212	99499.99724
213	99385.42752
214	99329.58412
215	99202.15639
216	99103.36485
217	98976.91796
218	98893.93322
219	98820.90232
220	98701.04311
221	98591.19687
222	98514.96221
223	98398.15043
224	98281.67672
225	98215.37469
226	98127.56356
227	98000.24869
228	97917.96743
229	97821.23962
230	97732.15984
231	97635.3189
232	97586.91479
233	97461.81787
234	97372.7073
235	97203.49029
236	97140.63863
237	97125.32948
238	97024.7828
239	96945.24107
240	96857.6261
241	96772.62889
242	96643.2863
243	96581.49131
244	96498.07595
245	96425.11738
246	96331.13199
247	96267.23184
248	96164.58997
249	96119.75184
250	96027.18115
251	95869.90547
252	95803.78782
253	95746.91244
254	95663.45706
255	95595.16161
256	95543.74229
257	95481.44245
258	95421.03927
259	95368.53123
260	95335.63477
261	95194.28648
262	95132.52409
263	95006.06274
264	94932.37829
265	94780.45933
266	94688.1819
267	94652.47971
268	94567.94387
269	94491.3651
270	94391.19358
271	94320.77568
272	94264.19956
273	94158.83799
274	94107.78742
275	94043.9198
276	93980.95588
277	93900.38094
278	93797.76962
279	93731.18153
280	93672.67715
281	93615.3057
282	93549.63381
283	93477.40382
284	93405.26356
285	93325.58833
286	93248.74469
287	93178.49509
288	93072.91968
289	92982.46874
290	92915.04127
291	92869.27264
292	92789.06945
293	92724.34068
294	92636.30794
295	92580.94128
296	92521.29466
297	92493.00042
298	92442.62483
299	92380.9789
300	92326.4002
301	92272.79567
302	92137.33559
303	92050.09848
304	91981.80357
305	91921.88424
306	91829.36045
307	91752.5051
308	91658.85181
309	91524.02103
310	91452.92098
311	91367.1082
312	91314.45218
313	91250.24286
314	91178.73395
315	91107.73025
316	90981.27418
317	90923.15288
318	90868.4954
319	90792.87294
320	90743.8044
321	90649.18405
322	90613.2376
323	90528.12585
324	90474.98258
325	90411.10238
326	90359.11959
327	90286.60787
328	90227.8055
329	90186.46125
330	90125.48921
331	90057.52817
332	89980.94711
333	89921.77937
334	89864.62554
335	89822.87068
336	89761.56008
337	89731.38618
338	89682.01981
339	89625.55788
340	89578.79617
341	89525.3642
342	89471.47342
343	89418.38453
344	89354.67656
345	89295.92889
346	89248.00182
347	89207.73096
348	89155.03434
349	89075.04775
350	89024.23551
351	88966.43874
352	88902.56515
353	88821.4158
354	88757.73628
355	88703.28838
356	88615.66161
357	88545.97822
358	88508.6738
359	88465.76864
360	88409.68177
361	88363.42346
362	88307.0304
363	88261.82577
364	88198.97562
365	88136.28179
366	88063.53006
367	88014.67715
368	87952.08669
369	87906.44753
370	87851.30222
371	87795.80947
372	87743.80447
373	87710.44064
374	87649.73568
375	87580.25798
376	87536.3403
377	87478.88778
378	87436.30604
379	87385.3742
380	87361.2367
381	87308.74449
382	87275.61804
383	87207.95689
384	87142.57422
385	87096.86818
386	87021.47534
387	86979.29215
388	86915.37861
389	86872.4803
390	86830.91347
391	86777.57789
392	86736.77597
393	86708.29743
394	86657.2746
395	86605.54916
396	86549.6799
397	86485.73658
398	86443.4771
399	86388.1617
400	86305.08603
401	86245.18681
402	86215.00027
403	86157.87082
404	86123.03471
405	86097.50336
406	86048.79092
407	85997.12739
408	85949.49653
409	85925.78707
410	85888.38818
411	85845.45618
412	85799.9143
413	85760.74921
414	85729.54588
415	85680.86209
416	85640.98434
417	85582.00033
418	85546.73146
419	85487.73181
420	85457.32927
421	85388.59113
422	85337.03521
423	85306.47891
424	85266.22422
425	85221.1321
426	85183.64892
427	85161.81005
428	85110.00839
429	85076.33739
430	85028.27267
431	84983.35795
432	84936.39773
433	84907.47152
434	84851.93635
435	84809.28033
436	84785.14224
437	84753.92783
438	84703.72777
439	84666.04147
440	84624.0968
441	84576.91227
442	84557.04219
443	84494.68737
444	84449.37811
445	84380.43477
446	84342.38944
447	84275.67789
448	84242.07204
449	84210.48758
450	84156.49689
451	84133.5898
452	84095.25596
453	84050.5562
454	84020.75343
455	83960.92659
456	83896.45717
457	83861.69601
458	83828.74902
459	83782.63902
460	83735.4726
461	83714.00971
462	83675.67241
463	83618.6758
464	83561.92645
465	83513.27057
466	83486.90316
467	83456.01932
468	83414.5631
469	83390.33862
470	83363.61462
471	83311.69825
472	83272.15726
473	83221.88255
474	83179.39832
475	83146.48361
476	83099.23383
477	83049.40327
478	83005.16628
479	82968.034
480	82928.87019
481	82879.03725
482	82834.22346
483	82793.35661
484	82723.20414
485	82688.91426
486	82655.67015
487	82629.24386
488	82597.38148
489	82556.30593
490	82509.6146
491	82464.5412
492	82417.4752
493	82395.47179
494	82333.64608
495	82299.79435
496	82258.49567
497	82210.47744
498	82176.85565
499	82137.73909
500	82085.99414
501	82029.02779
502	82004.33277
503	81975.93814
504	81918.13848
505	81867.19051
506	81810.94898
507	81775.58195
508	81729.64086
509	81690.06659
510	81648.80867
511	81597.73439
512	81563.16557
513	81535.29845
514	81493.86844
515	81472.16882
516	81448.5718
517	81407.88926
518	81364.48896
519	81332.97335
520	81307.44921
521	81280.50749
522	81244.40414
523	81218.12134
524	81189.11614
525	81163.86313
526	81139.97322
527	81109.80522
528	81086.82948
529	81055.76982
530	81016.75213
531	80966.72584
532	80921.53289
533	80892.0535
534	80863.00167
535	80840.72359
536	80801.50619
537	80757.12784
538	80729.26601
539	80700.71077
540	80665.35787
541	80626.47039
542	80601.63147
543	80541.22417
544	80490.49855
545	80475.46666
546	80460.69099
547	80429.5424
548	80403.84383
549	80377.52612
550	80320.06763
551	80267.00604
552	80230.84051
553	80193.23995
554	80166.16885
555	80138.53917
556	80123.75816
557	80101.16569
558	80080.13611
559	80057.07973
560	80024.59031
561	79992.83528
562	79948.14592
563	79899.21911
564	79838.09717
565	79810.02255
566	79764.55682
567	79743.33526
568	79707.59819
569	79686.49357
570	79645.41377
571	79592.83924
572	79567.23491
573	79530.88144
574	79516.03352
575	79486.61796
576	79463.14431
577	79439.85286
578	79393.26076
579	79359.7333
580	79336.64723
581	79321.86483
582	79271.02402
583	79245.04331
584	79212.0803
585	79186.8437
586	79159.03207
587	79129.13959
588	79079.78257
589	79059.42925
590	79029.74216
591	78995.36298
592	78976.13496
593	78938.50673
594	78909.47545
595	78890.23962
596	78857.31807
597	78841.76004
598	78815.1596
599	78785.06799
600	78726.7116
601	78693.66864
602	78653.70373
603	78625.41336
604	78592.11209
605	78562.63678
606	78531.98698
607	78509.39244
608	78474.16709
609	78443.87805
610	78415.33414
611	78399.04041
612	78370.25336
613	78352.79398
614	78330.59495
615	78294.48011
616	78267.69513
617	78230.61915
618	78190.14516
619	78162.51991
620	78136.24694
621	78103.79443
622	78076.36284
623	78030.13874
624	77997.08704
625	77963.23686
626	77937.0058
627	77902.68756
628	77877.96643
629	77853.53708
630	77825.70227
631	77803.90899
632	77771.502
633	77748.23711
634	77730.25949
635	77707.05089
636	77690.58978
637	77667.60285
638	77633.71714
639	77604.7612
640	77571.73952
641	77559.50399
642	77520.77578
643	77499.72382
644	77478.08194
645	77452.99574
646	77423.09793
647	77414.03406
648	77360.46192
649	77337.56648
650	77299.86625
651	77280.28317
652	77248.74151
653	77222.19308
654	77196.60598
655	77168.05666
656	77138.47876
657	77112.86733
658	77073.7733
659	77047.82123
660	77013.17596
661	76987.57926
662	76964.34251
663	76929.03032
664	76895.56237
665	76866.01499
666	76828.34107
667	76810.93912
668	76796.82324
669	76777.67959
670	76758.13505
671	76734.06234
672	76715.48178
673	76679.72854
674	76660.57744
675	76645.10891
676	76618.19647
677	76582.69982
678	76564.59199
679	76523.8916
680	76481.63007
681	76463.29635
682	76436.5578
683	76405.02606
684	76367.61149
685	76325.92989
686	76307.9822
687	76282.3232
688	76250.74054
689	76236.11789
690	76220.1386
691	76191.04515
692	76155.15997
693	76140.10738
694	76111.48406
695	76078.91671
696	76038.30456
697	75999.78245
698	75943.3154
699	75909.66446
700	75894.34924
701	75859.67531
702	75845.87052
703	75831.03296
704	75807.45491
705	75770.67131
706	75756.553
707	75738.758
708	75714.36393
709	75704.34866
710	75672.69273
711	75659.99447
712	75616.81483
713	75580.89713
714	75556.75967
715	75532.0082
716	75510.30686
717	75490.82408
718	75461.59848
719	75430.1731
720	75407.67755
721	75379.89843
722	75363.95597
723	75330.60386
724	75304.75223
725	75268.66987
726	75238.98919
727	75205.04203
728	75197.96004
729	75163.66116
730	75131.37564
731	75109.00227
732	75078.2823
733	75057.85884
734	75041.09174
735	75017.71024
736	74990.63692
737	74961.9447
738	74941.11601
739	74922.39077
740	74898.10822
741	74874.45278
742	74848.12451
743	74828.99201
744	74802.39316
745	74769.7669
746	74741.62881
747	74716.57411
748	74688.33479
749	74656.78151
750	74618.82702
751	74588.76724
752	74573.36998
753	74559.98218
754	74534.41765
755	74499.84283
756	74459.29985
757	74445.63665
758	74422.39096
759	74386.81107
760	74364.40571
761	74344.56169
762	74330.20812
