iter	Passed	Remaining
0	3	3861
1	6	3482
2	10	3478
3	13	3408
4	17	3430
5	20	3395
6	23	3344
7	26	3293
8	29	3237
9	32	3182
10	34	3098
11	36	3027
12	39	2976
13	42	2971
14	44	2927
15	46	2885
16	49	2851
17	51	2826
18	54	2808
19	59	2892
20	61	2857
21	63	2833
22	65	2801
23	68	2777
24	70	2754
25	72	2727
26	74	2696
27	77	2679
28	79	2657
29	81	2631
30	83	2615
31	85	2592
32	87	2577
33	90	2561
34	93	2578
35	96	2572
36	98	2557
37	100	2542
38	102	2527
39	105	2526
40	107	2513
41	109	2501
42	111	2489
43	114	2490
44	116	2478
45	118	2466
46	120	2451
47	124	2463
48	127	2471
49	130	2477
50	132	2473
51	135	2463
52	137	2453
53	139	2446
54	141	2434
55	144	2428
56	146	2418
57	148	2407
58	150	2397
59	152	2393
60	154	2384
61	157	2379
62	159	2369
63	161	2361
64	163	2354
65	165	2348
66	168	2341
67	171	2344
68	173	2336
69	175	2335
70	177	2328
71	180	2321
72	182	2318
73	185	2319
74	187	2313
75	189	2308
76	192	2304
77	194	2297
78	197	2297
79	199	2293
80	201	2286
81	203	2282
82	206	2276
83	208	2269
84	210	2265
85	213	2264
86	215	2259
87	217	2254
88	219	2249
89	221	2243
90	224	2238
91	227	2242
92	229	2238
93	232	2239
94	234	2238
95	237	2235
96	239	2229
97	241	2224
98	243	2218
99	246	2215
100	248	2211
101	250	2206
102	252	2201
103	254	2194
104	257	2193
105	259	2189
106	262	2189
107	264	2186
108	267	2187
109	269	2183
110	272	2181
111	274	2176
112	276	2172
113	279	2169
114	282	2171
115	284	2167
116	286	2164
117	289	2161
118	291	2158
119	293	2154
120	296	2151
121	298	2148
122	300	2145
123	303	2141
124	305	2138
125	307	2133
126	309	2129
127	311	2125
128	314	2121
129	316	2119
130	319	2119
131	321	2114
132	323	2109
133	326	2107
134	328	2102
135	330	2102
136	333	2102
137	337	2105
138	339	2104
139	343	2109
140	346	2111
141	350	2115
142	352	2111
143	354	2107
144	356	2102
145	359	2103
146	361	2099
147	364	2095
148	366	2091
149	368	2088
150	370	2085
151	373	2081
152	375	2076
153	377	2073
154	379	2071
155	382	2066
156	384	2062
157	386	2058
158	388	2054
159	390	2051
160	393	2048
161	395	2044
162	397	2041
163	399	2037
164	401	2033
165	403	2029
166	406	2028
167	408	2024
168	410	2020
169	413	2017
170	415	2013
171	417	2010
172	419	2006
173	422	2003
174	424	2000
175	426	1998
176	428	1994
177	431	1990
178	433	1987
179	435	1986
180	438	1983
181	440	1981
182	446	1993
183	449	1991
184	451	1987
185	453	1984
186	456	1984
187	459	1983
188	461	1979
189	463	1976
190	465	1973
191	468	1972
192	471	1969
193	473	1967
194	475	1963
195	477	1959
196	480	1957
197	482	1955
198	485	1954
199	487	1951
200	490	1948
201	492	1946
202	494	1942
203	496	1939
204	499	1936
205	501	1933
206	503	1929
207	506	1927
208	508	1924
209	510	1920
210	512	1917
211	515	1914
212	517	1911
213	519	1908
214	521	1904
215	523	1901
216	526	1898
217	528	1895
218	530	1891
219	533	1890
220	535	1887
221	537	1884
222	539	1881
223	542	1879
224	545	1878
225	547	1876
226	550	1874
227	553	1874
228	555	1871
229	558	1869
230	561	1869
231	563	1866
232	566	1864
233	568	1861
234	571	1859
235	573	1856
236	575	1853
237	577	1848
238	579	1845
239	582	1843
240	584	1839
241	587	1838
242	589	1836
243	591	1833
244	594	1830
245	596	1827
246	598	1824
247	600	1822
248	603	1819
249	605	1816
250	607	1813
251	609	1810
252	612	1807
253	614	1804
254	616	1801
255	619	1799
256	621	1795
257	623	1792
258	625	1789
259	627	1786
260	629	1783
261	632	1780
262	634	1778
263	636	1775
264	639	1772
265	641	1769
266	643	1766
267	645	1764
268	648	1763
269	651	1760
270	653	1757
271	655	1754
272	657	1751
273	660	1750
274	663	1749
275	666	1747
276	668	1745
277	671	1743
278	673	1740
279	675	1737
280	678	1735
281	680	1731
282	682	1728
283	684	1726
284	687	1723
285	689	1721
286	691	1718
287	694	1716
288	696	1713
289	698	1710
290	700	1707
291	702	1703
292	705	1702
293	707	1699
294	709	1696
295	711	1693
296	714	1690
297	716	1687
298	718	1684
299	720	1682
300	723	1679
301	725	1677
302	728	1675
303	730	1673
304	733	1670
305	735	1667
306	737	1664
307	739	1662
308	741	1659
309	744	1656
310	746	1654
311	748	1650
312	753	1654
313	756	1653
314	759	1651
315	762	1650
316	764	1647
317	767	1645
318	769	1642
319	771	1640
320	774	1637
321	776	1634
322	778	1632
323	781	1629
324	783	1627
325	785	1624
326	787	1621
327	790	1618
328	792	1616
329	794	1613
330	797	1611
331	799	1608
332	801	1606
333	803	1603
334	806	1600
335	808	1598
336	811	1595
337	813	1593
338	816	1591
339	818	1589
340	821	1586
341	823	1584
342	826	1582
343	828	1580
344	830	1577
345	833	1574
346	835	1571
347	837	1568
348	839	1566
349	842	1565
350	844	1562
351	847	1559
352	849	1556
353	851	1553
354	853	1551
355	856	1548
356	858	1547
357	861	1544
358	863	1541
359	865	1538
360	867	1536
361	870	1533
362	872	1531
363	874	1528
364	876	1525
365	879	1523
366	881	1520
367	883	1517
368	886	1515
369	888	1512
370	890	1509
371	892	1507
372	894	1504
373	897	1501
374	899	1499
375	902	1497
376	904	1494
377	906	1492
378	908	1489
379	910	1485
380	913	1483
381	915	1481
382	917	1478
383	919	1475
384	921	1472
385	923	1469
386	926	1467
387	928	1464
388	930	1461
389	932	1459
390	935	1456
391	937	1453
392	940	1452
393	942	1449
394	944	1446
395	947	1444
396	949	1441
397	951	1439
398	953	1436
399	955	1433
400	957	1430
401	960	1428
402	962	1425
403	964	1422
404	966	1420
405	968	1417
406	970	1414
407	973	1412
408	975	1410
409	977	1407
410	980	1405
411	982	1402
412	984	1399
413	987	1397
414	989	1394
415	991	1392
416	994	1389
417	996	1387
418	998	1384
419	1001	1382
420	1004	1381
421	1007	1379
422	1009	1377
423	1012	1375
424	1014	1373
425	1017	1370
426	1019	1368
427	1021	1365
428	1024	1363
429	1026	1360
430	1028	1357
431	1030	1355
432	1033	1352
433	1035	1350
434	1037	1347
435	1039	1344
436	1042	1342
437	1044	1339
438	1046	1337
439	1048	1334
440	1050	1332
441	1053	1329
442	1055	1326
443	1057	1324
444	1060	1322
445	1064	1321
446	1066	1319
447	1068	1316
448	1071	1314
449	1073	1312
450	1075	1309
451	1078	1307
452	1080	1304
453	1082	1302
454	1085	1299
455	1087	1297
456	1089	1295
457	1092	1292
458	1094	1290
459	1097	1288
460	1100	1286
461	1102	1283
462	1104	1281
463	1107	1279
464	1110	1277
465	1113	1275
466	1115	1273
467	1118	1271
468	1122	1270
469	1124	1268
470	1127	1265
471	1129	1263
472	1131	1260
473	1134	1258
474	1137	1256
475	1140	1255
476	1142	1252
477	1144	1250
478	1147	1247
479	1149	1245
480	1152	1243
481	1155	1241
482	1157	1239
483	1160	1236
484	1162	1234
485	1164	1231
486	1166	1229
487	1169	1226
488	1171	1223
489	1173	1221
490	1176	1219
491	1178	1216
492	1180	1214
493	1182	1211
494	1185	1208
495	1187	1206
496	1189	1203
497	1191	1201
498	1193	1198
499	1196	1196
500	1198	1193
